train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr,epoch
0.42420119028718606,0.7794111084200197,0.650517645703063,0.2747816840448965,0.8282051411346408,0.7201932948418903,0.0001,1
0.25223805581577974,0.8623509876732669,0.761595943887183,0.19343331743986597,0.8626881715192691,0.768713231551518,0.0001,2
0.19007463170435257,0.8759772749196169,0.7823066588527229,0.17576470963038263,0.8583058473865909,0.76237435934776,0.0001,3
0.16626972560149328,0.880699824295376,0.7895386924365503,0.1596981236973394,0.8598642596699271,0.7636289189868886,0.0001,4
0.15118580474383134,0.8873874669379377,0.8005932513703691,0.15057849063662415,0.8670681869940637,0.7751933260945206,0.0001,5
0.1443067329534018,0.887227896726339,0.8007445443760265,0.14776370564092367,0.8721383259184524,0.782155850734091,0.0001,6
0.1369748732799257,0.8939095551317389,0.8108137050495848,0.17060615170733592,0.8525868770447879,0.7549414264596326,0.0001,7
0.13497611542216123,0.8934548793493894,0.8102561270475849,0.14260823968192732,0.8750070503472421,0.786291349665783,0.0001,8
0.13077582988448483,0.8965097003564152,0.8150554428709315,0.1389542133799529,0.8786623394015894,0.7921363547820908,0.0001,9
0.13227303797663756,0.8930688598861547,0.8097609053727968,0.1394523582303567,0.8730446042136595,0.7837025934178046,0.0001,10
0.12886291243121517,0.8981078039054944,0.8176583563105512,0.14668634730233182,0.8719165011003129,0.7819290249356294,0.0001,11
0.12587989489737056,0.9000999908382703,0.8207003336810512,0.1511475222205427,0.8651480702716952,0.7741819041300336,0.0001,12
0.13329021602119653,0.8934068246782403,0.8097980551608988,0.1431921171797742,0.8689787267347535,0.7785267866475487,0.0001,13
0.1261933093605927,0.8992141956286919,0.8191136814639463,0.14428413150973268,0.8687296838966948,0.7790245134047222,0.0001,14
0.1225009009414992,0.903834397719031,0.8264924671940462,0.14332320428174325,0.8773932551649073,0.7917782550254023,0.0001,15
0.11505173885730065,0.9088391141919149,0.8346805063160982,0.13901958455893107,0.8723351344304825,0.7831592480198141,5e-05,16
0.11369300739446968,0.9089272605842502,0.8353369030546635,0.13485111527494575,0.8819814681576478,0.7979911899308435,5e-05,17
0.11399121301201834,0.9086114733777148,0.8348525630436275,0.13264770187195457,0.8861230185746286,0.8028914095692686,5e-05,18
0.11312271217370633,0.9079513113088258,0.833817501616893,0.13577996714827387,0.880331892399151,0.7943509502961748,5e-05,19
0.10784806839732644,0.9138427973715895,0.8428927806175424,0.1344390357659612,0.8827640143112155,0.797187629374356,5e-05,20
0.11092579473725139,0.9113467864648978,0.8396655691661503,0.12842552078760058,0.8871531165894189,0.8028688110169091,5e-05,21
0.11077308136270862,0.9122156354629325,0.8399159503167556,0.13397712873745482,0.8787445174227553,0.7926643361683787,5e-05,22
0.11177423963579033,0.911582288244015,0.8394405678346955,0.1294950938881089,0.8856118762536169,0.8021212469799854,5e-05,23
0.10924226650013454,0.9150360683638538,0.8447567784117546,0.13226550287610786,0.8848557917649995,0.8002101862903966,5e-05,24
0.10836001917633374,0.9130065888915809,0.8418034667433807,0.1304183322331105,0.8827449141426638,0.797293308624722,5e-05,25
0.10892608661485595,0.9145303215233455,0.8440247748760467,0.13308625837740914,0.8788247771211479,0.7921305819538956,5e-05,26
0.10945091383600143,0.9121264171323648,0.8407879460711083,0.13592106733296322,0.8783271433213988,0.7920515666369496,5e-05,27
0.10609333695018776,0.9153859545229943,0.8456295984164889,0.1299536521899571,0.8860152316437732,0.8023056103864732,2.5e-05,28
0.10174184896095118,0.9193540263913816,0.8522174574189767,0.1356833175577842,0.8804802756877582,0.7949159558499332,2.5e-05,29
0.10343110043721226,0.918649077069598,0.8512587803014242,0.13287207075404778,0.8884986264610979,0.806232401179923,2.5e-05,30
0.10151035223638988,0.9200804764804803,0.8532542651349848,0.12815080537369966,0.8907159302208828,0.8090779925511632,2.5e-05,31
0.0996591458698767,0.9213329303195444,0.8556492518871388,0.12975329426974597,0.8895088410549645,0.8071772832732769,2.5e-05,32
0.10043070990181523,0.9196818521682252,0.8528892277518371,0.1385972358367073,0.8751157091843093,0.7874613025558554,2.5e-05,33
0.0988369897786146,0.923084624131828,0.8585354672409811,0.13558882391517343,0.8809647968960153,0.7960345170558144,2.5e-05,34
0.1016529803811005,0.9191807473420636,0.8521842312305532,0.13230693437132163,0.8877482567022854,0.8052810669375671,2.5e-05,35
0.09744990652488325,0.9232862318276898,0.8586198131166528,0.12633442765754052,0.8894805581130706,0.8083242461999831,2.5e-05,36
0.09839995861687559,0.9218217849270287,0.856299371253591,0.13144995885420363,0.8873728466378222,0.8038623885987898,2.5e-05,37
0.09886035581967817,0.9222230940077245,0.8573397781217121,0.1314230264847029,0.887638065358792,0.8047851108902198,2.5e-05,38
0.09843292534351349,0.922868912593539,0.8580162176311131,0.12945130432448232,0.889401300934678,0.8072307488548196,2.5e-05,39
0.09908758962753894,0.9212020924059058,0.855608215345866,0.12915682590933053,0.8878104521049058,0.8046295599816938,2.5e-05,40
0.09800702444704636,0.9227950710161973,0.858012039841259,0.13140777845460155,0.8873484866283431,0.8046732125299502,2.5e-05,41
